Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
PlatformMemory/TotalPhysical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/TotalVirtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/PageSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/AvailablePhysical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/AvailableVirtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/UsedPhysical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/PeakUsedPhysical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/UsedVirtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PlatformMemory/PeakUsedVirtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
QueuedThreadPoolWrapper/ScheduledWorkAllocs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PackagesQueued,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PackagesLoading,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PackagesWithRemainingWork,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PendingIoRequests,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/TotalLoaded,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BulkData/BatchRequest/Count,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BulkData/BatchRequest/Pending,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
EditorBulkData/PayloadDataLoaded,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
EditorBulkData/PayloadDataPulled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassWithParameterCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCullCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/RenderPassMergeCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassDependencyCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TextureCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TextureReferenceCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TextureReferenceAverage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
RDG/BufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/BufferReferenceCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/BufferReferenceAverage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
RDG/ViewCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TransientTextureCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TransientBufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TransitionCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/AliasingCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/TransitionBatchCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/MemoryWatermark,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BufferPool/BufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BufferPool/BufferCreateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BufferPool/BufferReleaseCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BufferPool/Size,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RenderTargetPool/Count,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RenderTargetPool/Size,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumDisabled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/Num,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumStatic,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumKinematic,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumDynamic,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumGC,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumMoving,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumStaticShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumKinematicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumDynamicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslands,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslandGroups,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumValidConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumUpdatedManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Joints/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
