Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
STAT_EventLoop_TEventLoop_RunOnce,298,0.000000,inf,0.657033,0.657211,0.000178,30.450509,inf,inf,0.000178,inf,inf,-nan(ind),
STAT_EventLoop_TTimerManager_Tick,594,0.000000,inf,0.657121,0.657210,0.000089,30.550694,inf,inf,0.000001,inf,inf,-nan(ind),
STAT_EventLoop_TManagedStorage_Update,594,0.000000,inf,0.657133,0.657140,0.000007,30.550698,inf,inf,0.000000,inf,inf,-nan(ind),
STAT_EventLoop_TEventLoop_Run,1,0.000000,inf,0.657020,inf,inf,0.657020,inf,inf,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,inf,inf,0.000000,
STAT_FCurlMultiPollIOManager_Poll,298,9.968675,29.860797,0.657044,0.657109,0.000065,30.450511,30.550686,0.100175,0.000065,0.112289,0.100204,0.005907,
STAT_FCurlMultiPollIOManager_Poll_MultiPoll,298,9.968688,29.855105,0.657083,0.657109,0.000026,30.450521,30.550685,0.100164,0.000026,0.112277,0.100185,0.005908,
BeginFrame,1633,58.584612,27.792593,2.262224,2.359155,0.096931,30.128584,30.136438,0.007854,0.003305,0.624630,0.017019,0.015488,
FEngineLoop::Tick,1634,58.602484,27.043889,2.261994,2.274404,0.012410,30.134650,30.144771,0.010121,0.003267,0.088917,0.016551,0.003709,
FrameTime,3268,117.205435,26.591881,2.262102,2.262353,0.000251,30.134890,30.144768,0.009878,0.000035,0.088819,0.008137,0.008398,
FExecuteRHIThreadTask,12307,429.886032,26.517657,1.511558,1.511569,0.000011,30.140039,30.140076,0.000037,0.000000,0.610184,0.002155,0.006857,
RHI Thread Execute,12307,429.886152,26.304134,1.511563,1.511565,0.000002,30.140041,30.140073,0.000032,0.000000,0.610176,0.002137,0.006845,
FDrawSceneCommand,1634,58.063792,25.537916,1.994561,2.261124,0.266563,30.128780,30.136023,0.007243,0.002062,0.266563,0.015629,0.006948,
RenderViewFamily,1634,58.064046,25.174515,1.994577,2.260805,0.266228,30.128797,30.135916,0.007119,0.001980,0.266228,0.015407,0.006944,
WaitUntilTasksComplete,36921,1332.239377,22.394420,2.425512,2.425827,0.000315,30.139000,30.139000,0.000000,0.000000,0.611315,0.000607,0.004121,
SceneEnd,11527,409.728585,20.649109,2.006814,2.007502,0.000688,30.140042,30.140072,0.000030,0.000000,0.610176,0.001791,0.006887,
Explicit wait for RHI thread,1694,59.237006,19.157116,1.538324,1.543508,0.005184,30.130558,30.135313,0.004755,0.000021,0.611317,0.011309,0.015696,
FPSOPrecompileTask,1356,425.615259,18.995038,1.702042,1.702101,0.000059,4.888018,4.888018,0.000000,0.000000,0.184857,0.014008,0.028853,
STAT_FPSOPrecompileTask_Work,339,107.186796,18.985660,1.702340,1.741630,0.039290,4.846801,4.865043,0.018242,0.005525,0.184855,0.056005,0.031276,
PSOPrecache: Precaching,339,107.186999,18.981965,1.702342,1.741626,0.039284,4.846802,4.865039,0.018237,0.005518,0.184828,0.055994,0.031274,
GameThreadWaitForTask,1639,57.274141,18.426663,1.511823,1.511957,0.000134,30.100207,30.128577,0.028370,0.000041,0.237932,0.011243,0.006788,
Game thread idle time,1639,57.274143,18.423765,1.511824,1.511957,0.000133,30.100208,30.128577,0.028369,0.000040,0.237931,0.011241,0.006788,
EndFlushResourcesRHI,1640,58.296705,18.229877,2.003372,2.008796,0.005424,30.130548,30.135322,0.004774,0.000065,0.086469,0.011116,0.003277,
Frame Sync Time,1634,58.630922,18.198799,2.274117,2.274179,0.000062,30.143323,30.143370,0.000047,0.000012,0.085120,0.011138,0.003840,
Present time,3268,114.377016,18.037045,1.567846,1.567928,0.000082,30.137856,30.140020,0.002164,0.000000,0.033040,0.005519,0.005720,
STAT_PlatformBlitToViewportTime,1634,57.188816,17.828796,1.567987,1.571053,0.003066,30.137858,30.140007,0.002149,0.000363,0.029866,0.010911,0.002164,
STAT_OpenGLSwapBuffersTime,1634,57.193036,17.309184,1.570091,1.571046,0.000955,30.138084,30.140003,0.001919,0.000230,0.029557,0.010593,0.002184,
GameEngine Tick,1634,58.616168,5.683297,2.264577,2.270591,0.006014,30.135746,30.140845,0.005099,0.001028,0.014868,0.003478,0.000949,
ExecuteForegroundTask,41032,1384.583390,5.102126,0.506978,0.510122,0.003144,30.141879,30.141885,0.000006,0.000000,0.047942,0.000124,0.000392,
STAT_FMobileSceneRenderer_Render,1640,58.292588,4.197757,1.996439,2.002918,0.006479,30.129023,30.130376,0.001353,0.000410,0.007824,0.002560,0.000890,
UWorld_Tick,1634,58.621860,3.701516,2.264647,2.266099,0.001452,30.135832,30.138208,0.002376,0.000693,0.013905,0.002265,0.000757,
World Tick Time,1634,58.622014,3.640248,2.264718,2.266086,0.001368,30.135855,30.138206,0.002351,0.000687,0.013834,0.002228,0.000750,
WaitForTasks,4084,142.666319,3.196510,1.511502,1.511555,0.000053,30.137450,30.137740,0.000290,0.000001,0.184889,0.000783,0.003764,
