Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
Total Slate Tick Time,1984,0.000000,inf,1.015575,1.015575,0.000000,17.619611,inf,inf,0.000000,inf,inf,-nan(ind),
Slate::Tick (Time and Widgets),991,0.000000,inf,1.141553,1.143238,0.001685,17.619611,inf,inf,0.000221,inf,inf,-nan(ind),
Paint: Game UI,991,0.000000,inf,1.142291,1.142472,0.000181,17.619753,inf,inf,0.000076,inf,inf,-nan(ind),
SConstraintCanvas,1982,0.000000,inf,1.142360,1.142452,0.000092,17.619779,inf,inf,0.000045,inf,inf,-nan(ind),
MyUMG_C /Engine/Transient.GameEngine_2147482621:GameInstance_2147482577.MyUMG_C_2147482480_Paint,991,0.000000,inf,1.142360,1.142454,0.000094,17.619782,inf,inf,0.000048,inf,inf,-nan(ind),
STAT_EventLoop_TEventLoop_Run,1,0.000000,inf,0.500180,inf,inf,0.500180,inf,inf,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,inf,inf,0.000000,
STAT_EventLoop_TEventLoop_RunOnce,177,0.000000,inf,0.500185,0.500281,0.000096,18.000837,inf,inf,0.000006,inf,inf,-nan(ind),
Draw Window And Children Time,992,0.000000,inf,0.654772,0.654827,0.000055,17.619685,inf,inf,0.000055,inf,inf,-nan(ind),
SViewport_OnPaint,992,0.000000,inf,1.015731,1.015800,0.000069,17.619730,inf,inf,0.000069,inf,inf,-nan(ind),
Slate_PaintSlowPath,992,0.000000,inf,0.654805,0.654826,0.000021,17.619697,inf,inf,0.000021,inf,inf,-nan(ind),
Slate::DrawWindows,992,0.000000,inf,0.654760,0.656612,0.001852,17.619621,inf,inf,0.000213,inf,inf,-nan(ind),
Game UI Paint,992,0.000000,inf,1.015731,1.015800,0.000069,17.619730,inf,inf,0.000069,inf,inf,-nan(ind),
Slate::DrawWindow,992,0.000000,inf,0.654797,0.654827,0.000030,17.619691,inf,inf,0.000030,inf,inf,-nan(ind),
FrameTime,1982,0.000000,inf,1.136865,1.137168,0.000303,17.611249,inf,inf,0.000046,inf,inf,-nan(ind),
STAT_FCurlMultiPollIOManager_Poll,177,10.056350,17.584254,0.500215,0.500239,0.000024,18.000840,18.101034,0.100194,0.000005,0.103570,0.099346,0.010659,
STAT_FCurlMultiPollIOManager_Poll_MultiPoll,177,10.056359,17.580352,0.500229,0.500239,0.000010,18.000857,18.101032,0.100175,0.000004,0.103555,0.099324,0.010658,
BeginFrame,989,60.079171,16.457975,1.137065,1.207945,0.070880,17.589402,17.598677,0.009275,0.003907,0.070880,0.016641,0.002681,
FEngineLoop::Tick,990,60.093137,16.374119,1.136694,1.143621,0.006927,17.600947,17.611121,0.010174,0.003655,0.064478,0.016540,0.002690,
FExecuteRHIThreadTask,7290,428.905274,15.525010,0.623920,0.624018,0.000098,17.620606,17.620680,0.000074,0.000034,0.016869,0.002130,0.003624,
RHI Thread Execute,7290,428.905375,15.376368,0.623922,0.624015,0.000093,17.620607,17.620678,0.000071,0.000031,0.016863,0.002109,0.003600,
FDrawSceneCommand,990,59.837460,15.218076,1.053411,1.074260,0.020849,17.590036,17.598231,0.008195,0.003411,0.063183,0.015372,0.002044,
RenderViewFamily,990,59.838150,14.947641,1.053454,1.074196,0.020742,17.590056,17.598083,0.008027,0.003326,0.027327,0.015099,0.001388,
WaitUntilTasksComplete,23298,1414.701222,12.771526,1.150886,1.151087,0.000201,17.619381,17.619381,0.000000,0.000000,0.058785,0.000548,0.002248,
SceneEnd,7112,429.743235,12.442053,1.071261,1.071330,0.000069,17.620607,17.620678,0.000071,0.000001,0.016861,0.001749,0.003754,
GameThreadWaitForTask,1000,58.935726,10.728655,0.624186,0.624237,0.000051,17.569899,17.591823,0.021924,0.000021,0.068415,0.010729,0.003483,
Game thread idle time,1000,58.935729,10.726900,0.624187,0.624237,0.000050,17.569901,17.591823,0.021922,0.000021,0.068414,0.010727,0.003483,
Explicit wait for RHI thread,1047,61.756391,10.681746,0.643676,0.645788,0.002112,17.593131,17.597387,0.004256,0.000074,0.029609,0.010202,0.002878,
Frame Sync Time,990,60.117930,10.678163,1.143296,1.143355,0.000059,17.610897,17.610929,0.000032,0.000032,0.059201,0.010786,0.002847,
EndFlushResourcesRHI,996,60.270790,10.642559,1.071979,1.072515,0.000536,17.593118,17.597397,0.004279,0.000174,0.021806,0.010685,0.001870,
Queue Present,991,58.481737,10.208235,0.673875,0.674693,0.000818,17.605038,17.619336,0.014298,0.000335,0.014819,0.010301,0.001570,
GameEngine Tick,991,60.128628,3.658404,1.138178,1.141336,0.003158,17.612400,17.619512,0.007112,0.001213,0.008814,0.003692,0.000718,
ExecuteForegroundTask,25158,1461.694149,3.620052,0.407543,0.410297,0.002754,17.618967,17.619078,0.000111,0.000000,0.060039,0.000144,0.000611,
STAT_FMobileSceneRenderer_Render,996,60.226076,2.618795,1.055211,1.070575,0.015364,17.591555,17.592898,0.001343,0.000431,0.015364,0.002629,0.000772,
UWorld_Tick,991,60.131882,2.350818,1.138287,1.139599,0.001312,17.612984,17.618729,0.005745,0.000715,0.007607,0.002372,0.000566,
World Tick Time,991,60.132105,2.310583,1.138346,1.139597,0.001251,17.615118,17.618727,0.003609,0.000702,0.007593,0.002332,0.000553,
WaitForTasks,2465,145.046133,2.194998,0.623890,0.623919,0.000029,17.617787,17.618483,0.000696,0.000000,0.179267,0.000890,0.004646,
Tick Time,3964,240.529427,2.011117,1.138395,1.138397,0.000002,17.618694,17.618707,0.000013,0.000000,0.007426,0.000507,0.000866,
ReleaseTickGroup Block,5946,360.795738,1.889863,1.138452,1.138452,0.000000,17.618683,17.618691,0.000008,0.000000,0.005341,0.000318,0.000420,
TickCompletionEvents,6930,420.644785,1.885380,1.143983,1.149323,0.005340,17.618683,17.618691,0.000008,0.000001,0.005340,0.000272,0.000403,
TaskWorkerIsLookingForWork,22841,1326.860659,1.732597,0.406654,0.406667,0.000013,17.620946,17.620971,0.000025,0.000000,0.008123,0.000076,0.000099,
InitViews,2994,181.166831,1.704805,1.066184,1.066192,0.000008,17.591636,17.592388,0.000752,0.000000,0.008807,0.000569,0.000831,
FWaitingQueue_Unpark_SignalWaitingThread,19317,1122.319849,1.593336,0.407838,0.407858,0.000020,17.619494,17.619509,0.000015,0.000000,0.001937,0.000082,0.000117,
ParallelFor,17892,1039.265196,1.493264,0.403080,0.403142,0.000062,17.618911,17.619090,0.000179,0.000001,0.015931,0.000083,0.000215,
STAT_Vulkan_RHICreateGraphicsPipelineState,90,-1002.271816,1.268313,1.016163,1.016629,0.000466,0.900398,0.926367,0.025969,0.000068,0.059952,0.014092,0.017923,
STAT_Vulkan_RHICreateGraphicsPipelineState_NEW,90,-1002.260655,1.268263,1.016164,1.016628,0.000464,0.900399,0.926367,0.025968,0.000067,0.059949,0.014092,0.017923,
PSO Creation time,90,-1000.923074,1.263406,1.016276,1.016626,0.000350,0.900430,0.926359,0.025929,0.000060,0.059845,0.014038,0.017888,
STAT_Vulkan_RHICreateGraphicsPipelineState_CREATE_PART0,90,-1000.544741,1.261066,1.016308,1.016625,0.000317,0.900460,0.926357,0.025897,0.000056,0.059776,0.014012,0.017879,
PSO Vulkan Creation time,90,-1000.466885,1.257188,1.016313,1.016624,0.000311,0.900509,0.926355,0.025846,0.000052,0.059583,0.013969,0.017837,
Mine PSO: CreateGfxPipeline(Standard),90,-1000.455763,1.257135,1.016314,1.016624,0.000310,0.900509,0.926355,0.025846,0.000052,0.059581,0.013968,0.017837,
PSOPrecache: Untracked,68,-757.314207,1.201531,1.016162,1.016630,0.000468,0.900398,0.926371,0.025973,0.000068,0.059341,0.017670,0.017974,
FPSOPrecompileTask,176,911.647855,1.186118,0.733320,0.733330,0.000010,0.926375,0.926377,0.000002,0.000000,0.059346,0.006739,0.014099,
STAT_FPSOPrecompileTask_Work,44,230.508901,1.185672,0.735491,0.749894,0.014403,0.900397,0.926373,0.025976,0.000259,0.059346,0.026947,0.015864,
FTickFunctionTask,29704,1803.008239,1.083899,1.144000,1.144006,0.000006,17.618688,17.618689,0.000001,0.000000,0.004891,0.000036,0.000088,
FRDGBuilder::ExecutePasses,1988,119.604955,1.002229,0.977211,0.977216,0.000005,17.598545,17.598596,0.000051,0.000005,0.024434,0.000504,0.000698,
Execute,1988,119.604955,0.999919,0.977211,0.977215,0.000004,17.598545,17.598596,0.000051,0.000004,0.024433,0.000503,0.000697,
TG_PrePhysics,991,60.136341,0.969606,1.138438,1.138459,0.000021,17.615182,17.617658,0.002476,0.000021,0.005345,0.000978,0.000331,
Post,2982,180.358740,0.945234,1.070804,1.071259,0.000455,17.603444,17.604519,0.001075,0.000000,0.014874,0.000317,0.000544,
Queue Submit,9808,577.053125,0.876047,0.623957,0.624000,0.000043,17.620622,17.620659,0.000037,0.000002,0.003487,0.000089,0.000088,
FMeshDrawCommandPassSetupTask,5951,359.869610,0.872174,1.056041,1.056186,0.000145,17.592351,17.592586,0.000235,0.000005,0.007921,0.000147,0.000196,
FViewport_Draw,994,59.664546,0.848568,0.959561,0.959569,0.000008,17.618777,17.619371,0.000594,0.000002,0.008662,0.000854,0.000325,
RedrawViewports,993,59.604511,0.845521,0.959558,0.959569,0.000011,17.618773,17.619371,0.000598,0.000007,0.004607,0.000851,0.000211,
CharacterMesh1P,3971,241.126839,0.697236,1.149063,1.149198,0.000135,17.617494,17.617574,0.000080,0.000000,0.002482,0.000176,0.000163,
STAT_FRDGPass_Execute,44253,2677.771231,0.657179,1.072535,1.072568,0.000033,17.598551,17.598592,0.000041,0.000000,0.020114,0.000015,0.000104,
TG_EndPhysics,991,60.135535,0.656614,1.139088,1.139091,0.000003,17.617768,17.618529,0.000761,0.000003,0.005050,0.000663,0.000346,
MeshDrawCommandPassSetupTask,5951,359.869632,0.620418,1.056042,1.056186,0.000144,17.592351,17.592586,0.000235,0.000005,0.007919,0.000104,0.000156,
Dynamic shadow setup,1992,120.463356,0.604961,1.056158,1.056292,0.000134,17.592148,17.592307,0.000159,0.000021,0.007831,0.000304,0.000243,
Shadows,2988,180.761627,0.581632,1.070748,1.070802,0.000054,17.600712,17.600805,0.000093,0.000000,0.005847,0.000195,0.000249,
FActorComponentTickFunction::ExecuteTick,7920,480.880945,0.537494,1.148904,1.149027,0.000123,17.618671,17.618677,0.000006,0.000000,0.001477,0.000068,0.000104,
Occlusion,1992,120.847241,0.493272,1.119824,1.120113,0.000289,17.603440,17.603444,0.000004,0.000001,0.002331,0.000248,0.000315,
View Visibility,996,60.231310,0.487440,1.055640,1.055942,0.000302,17.591670,17.591890,0.000220,0.000037,0.001651,0.000489,0.000296,
ProcessVisibilityTasks,996,60.231321,0.485336,1.055643,1.055942,0.000299,17.591670,17.591890,0.000220,0.000037,0.001651,0.000487,0.000295,
Init dynamic shadows,1992,120.463480,0.477401,1.056175,1.056223,0.000048,17.592147,17.592307,0.000160,0.000012,0.007832,0.000240,0.000269,
SlateDrawWindowsCommand,991,58.500642,0.462604,0.658646,0.673348,0.014702,17.598276,17.598631,0.000355,0.000156,0.014702,0.000467,0.000474,
FPhysicsSolverAdvanceTask,990,60.114418,0.452663,1.149818,1.151218,0.001400,17.617833,17.618413,0.000580,0.000121,0.001989,0.000457,0.000204,
Physics Tick,1983,120.408368,0.451507,1.149456,1.149804,0.000348,17.617835,17.618411,0.000576,0.000007,0.001845,0.000228,0.000247,
BeginRenderingViewFamily,992,59.841924,0.450392,1.042213,1.048525,0.006312,17.618895,17.619220,0.000325,0.000090,0.006312,0.000454,0.000249,
ExecuteBackgroundTask,3069,178.825874,0.438823,0.407869,0.407872,0.000003,17.569763,17.569815,0.000052,0.000000,0.002777,0.000143,0.000194,
Slate::DrawWindow_RenderThread,991,58.500715,0.429045,0.658652,0.673325,0.014673,17.598281,17.598616,0.000335,0.000145,0.014673,0.000433,0.000471,
STAT_GenerateDynamicMeshDrawCommands,4958,299.821172,0.424721,1.056060,1.056122,0.000062,17.592351,17.592584,0.000233,0.000005,0.002727,0.000086,0.000106,
AnimGameThreadTime,3966,238.539977,0.412687,0.991431,0.991433,0.000002,17.617493,17.617575,0.000082,0.000001,0.001210,0.000104,0.000073,
FSceneRenderer::FinishInitDynamicShadows,996,60.232170,0.408149,1.056293,1.064125,0.007832,17.592147,17.592307,0.000160,0.000086,0.007832,0.000410,0.000288,
FSceneRenderer::FinishGatherShadowPrimitives,996,60.232177,0.405128,1.056295,1.064124,0.007829,17.592149,17.592307,0.000158,0.000085,0.007829,0.000407,0.000288,
Slate RT: Rendering,991,58.551396,0.404875,0.673315,0.673325,0.000010,17.598290,17.598616,0.000326,0.000010,0.002493,0.000409,0.000131,
STAT_RenderThreadFinalize,996,60.232210,0.404191,1.056304,1.064124,0.007820,17.592149,17.592307,0.000158,0.000085,0.007820,0.000406,0.000288,
Scene::UpdateAllPrimitiveSceneInfos,997,60.006636,0.399571,0.976688,0.977171,0.000483,17.590067,17.591517,0.001450,0.000081,0.002256,0.000401,0.000170,
FScene_UpdateAllPrimitiveSceneInfos,997,60.006640,0.399171,0.976689,0.977171,0.000482,17.590067,17.591517,0.001450,0.000081,0.002256,0.000400,0.000170,
UpdatePrimitive,997,60.006640,0.398316,0.976689,0.977171,0.000482,17.590068,17.591517,0.001449,0.000081,0.002255,0.000400,0.000170,
Slate RT: Draw Batches,990,59.701017,0.366218,1.015981,1.016155,0.000174,17.598324,17.598613,0.000289,0.000129,0.002452,0.000370,0.000120,
Opaque,996,60.430098,0.360207,1.119241,1.119800,0.000559,17.600805,17.601094,0.000289,0.000016,0.007407,0.000362,0.000266,
USkinnedMeshComponent_TickComponent,2970,180.342344,0.356512,1.148912,1.149026,0.000114,17.617586,17.617590,0.000004,0.000000,0.001328,0.000120,0.000123,
SK_Mannequin_Arms,2971,180.433710,0.356329,1.151693,1.151736,0.000043,17.617495,17.617574,0.000079,0.000012,0.001333,0.000120,0.000110,
FParallelAnimationEvaluationTask,990,60.118240,0.355490,1.149061,1.149198,0.000137,17.615905,17.616609,0.000704,0.000091,0.002754,0.000359,0.000204,
