Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
STAT_EventLoop_TTimerManager_Tick,725,0.000000,inf,0.543709,0.543899,0.000190,36.841691,inf,inf,0.000000,inf,inf,-nan(ind),
Total Slate Tick Time,3984,0.000000,inf,2.222611,2.222612,0.000001,36.909948,inf,inf,0.000001,inf,inf,-nan(ind),
Slate::Tick (Time and Widgets),1991,0.000000,inf,2.784588,2.786369,0.001781,36.909947,inf,inf,0.000252,inf,inf,-nan(ind),
Slate::DrawWindows,1992,0.000000,inf,1.689045,1.692835,0.003790,36.909966,inf,inf,0.000242,inf,inf,-nan(ind),
Draw Window And Children Time,1992,0.000000,inf,1.689087,1.689281,0.000194,36.910110,inf,inf,0.000142,inf,inf,-nan(ind),
Slate::DrawWindow,1992,0.000000,inf,1.689157,1.689278,0.000121,36.910124,inf,inf,0.000121,inf,inf,-nan(ind),
Slate_PaintSlowPath,1992,0.000000,inf,1.689187,1.689273,0.000086,36.910139,inf,inf,0.000086,inf,inf,-nan(ind),
HitTestGrid AddWidget,27879,0.000000,inf,2.222777,2.222785,0.000008,36.910451,inf,inf,0.000000,inf,inf,-nan(ind),
MyUMG_C /Engine/Transient.GameEngine_2147482621:GameInstance_2147482577.MyUMG_C_2147482480_Paint,1991,0.000000,inf,2.785367,2.785480,0.000113,36.910384,inf,inf,0.000050,inf,inf,-nan(ind),
SConstraintCanvas,3982,0.000000,inf,2.785367,2.785478,0.000111,36.910374,inf,inf,0.000048,inf,-nan(ind),-nan(ind),
Paint: Game UI,1991,0.000000,inf,2.785303,2.785495,0.000192,36.910308,inf,inf,0.000081,inf,inf,-nan(ind),
STAT_EventLoop_TEventLoop_Run,1,0.000000,inf,0.543567,inf,inf,0.543567,inf,inf,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,inf,inf,0.000000,
