Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
Slate::Tick (Time and Widgets),841,0.000000,inf,1.660179,1.667086,0.006907,16.166030,inf,inf,0.000245,inf,inf,-nan(ind),
STAT_EventLoop_TEventLoop_Run,1,0.000000,inf,0.484144,inf,inf,0.484144,inf,inf,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,inf,inf,0.000000,
STAT_EventLoop_TEventLoop_RunOnce,157,0.000000,inf,0.484149,0.484235,0.000086,15.927202,inf,inf,0.000086,inf,inf,-nan(ind),
STAT_FCurlMultiPollIOManager_Poll,157,0.000000,inf,0.484154,0.484198,0.000044,15.927203,inf,inf,0.000044,inf,inf,-nan(ind),
STAT_FCurlMultiPollIOManager_Poll_MultiPerform,157,0.000000,inf,0.484159,0.484160,0.000001,15.927203,inf,inf,0.000000,inf,inf,-nan(ind),
SConstraintCanvas,1681,0.000000,inf,1.663660,1.663962,0.000302,16.166481,inf,inf,0.000049,inf,inf,-nan(ind),
SViewport_OnPaint,842,0.000000,inf,1.434715,1.434875,0.000160,16.166310,inf,inf,0.000099,inf,inf,-nan(ind),
Game UI Paint,842,0.000000,inf,1.434717,1.434874,0.000157,16.166311,inf,inf,0.000099,inf,inf,-nan(ind),
Slate_PaintSlowPath,842,0.000000,inf,0.838256,0.838290,0.000034,16.166235,inf,inf,0.000034,inf,inf,-nan(ind),
Paint: Game UI,841,0.000000,inf,1.663445,1.664024,0.000579,16.166401,inf,inf,0.000082,inf,inf,-nan(ind),
Slate::DrawWindow,842,0.000000,inf,0.838245,0.838291,0.000046,16.166221,inf,inf,0.000046,inf,inf,-nan(ind),
FrameTime,1682,0.000000,inf,1.647899,1.648352,0.000453,16.154904,inf,inf,0.000065,inf,inf,-nan(ind),
MyUMG_C /Engine/Transient.GameEngine_2147482621:GameInstance_2147482577.MyUMG_C_2147482480_Paint,841,0.000000,inf,1.663656,1.663967,0.000311,16.166492,inf,inf,0.000051,inf,inf,-nan(ind),
Slate::DrawWindows,842,0.000000,inf,0.838182,0.841234,0.003052,16.166053,inf,inf,0.000233,inf,inf,-nan(ind),
Total Slate Tick Time,1684,0.000000,inf,1.434349,1.434350,0.000001,16.166030,inf,inf,0.000001,inf,inf,-nan(ind),
Draw Window And Children Time,842,0.000000,inf,0.838203,0.838292,0.000089,16.166206,inf,inf,0.000089,inf,inf,-nan(ind),
STAT_FCurlMultiPollIOManager_Poll_MultiPoll,156,10.101668,15.432309,0.484185,0.484198,0.000013,15.827026,15.927179,0.100153,0.000013,0.100716,0.098925,0.011289,
BeginFrame,839,57.913140,14.483628,1.648151,1.736657,0.088506,16.113730,16.135364,0.021634,0.005113,0.088506,0.017263,0.003718,
FEngineLoop::Tick,840,57.905416,14.410642,1.647521,1.667955,0.020434,16.140231,16.153936,0.013705,0.008106,0.074347,0.017156,0.003360,
FExecuteRHIThreadTask,6199,403.315738,13.636836,0.778731,0.778911,0.000180,16.148657,16.148823,0.000166,0.000015,0.025937,0.002200,0.003982,
RHI Thread Execute,6199,403.315974,13.484209,0.778735,0.778907,0.000172,16.148662,16.148818,0.000156,0.000012,0.025929,0.002175,0.003956,
FDrawSceneCommand,840,57.389919,13.288418,1.496754,1.537881,0.041127,16.114145,16.133471,0.019326,0.003972,0.073143,0.015820,0.003000,
RenderViewFamily,840,57.393640,13.027855,1.496791,1.537770,0.040979,16.114195,16.132559,0.018364,0.003844,0.040979,0.015509,0.002294,
WaitUntilTasksComplete,19787,1360.728069,11.009021,1.622649,1.622649,0.000000,16.164128,16.164129,0.000001,0.000000,0.095177,0.000556,0.002418,
SceneEnd,6042,413.348205,10.815408,1.531601,1.531694,0.000093,16.148665,16.148817,0.000152,0.000000,0.025928,0.001790,0.004109,
Queue Present,841,55.056025,8.904996,0.866731,0.869484,0.002753,16.138420,16.142080,0.003660,0.000496,0.025613,0.010589,0.002810,
Explicit wait for RHI thread,898,58.677593,8.849229,0.824648,0.827504,0.002856,16.124037,16.128616,0.004579,0.000045,0.025167,0.009854,0.003633,
EndFlushResourcesRHI,846,57.964794,8.806653,1.533578,1.534708,0.001130,16.124004,16.128644,0.004640,0.000248,0.025237,0.010410,0.002867,
GameThreadWaitForTask,850,55.423091,8.779230,0.779259,0.779430,0.000171,16.105838,16.115827,0.009989,0.000049,0.111070,0.010329,0.005218,
Game thread idle time,850,55.423098,8.777083,0.779260,0.779429,0.000169,16.105841,16.115826,0.009985,0.000049,0.111069,0.010326,0.005218,
Frame Sync Time,840,57.987050,8.687695,1.667199,1.667388,0.000189,16.152964,16.153192,0.000228,0.000023,0.069962,0.010342,0.003820,
ExecuteForegroundTask,21503,1360.260541,4.744110,0.357563,0.366056,0.008493,16.165559,16.165564,0.000005,0.000000,0.095232,0.000221,0.001325,
GameEngine Tick,841,57.941810,3.705759,1.649773,1.659684,0.009911,16.155147,16.164335,0.009188,0.001587,0.013378,0.004406,0.001085,
WaitForTasks,2698,175.402555,2.871107,0.778681,0.778726,0.000045,16.159064,16.160441,0.001377,0.000002,0.291864,0.001064,0.007551,
