platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,0,65536,65536,1.000000,209,299.043062,7545158f165814bb,7545158f165814bb,4,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,1,65536,65536,1.000000,209,299.043062,7545158f165814bb,7545158f165814bb,4,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,2,65536,65536,1.000000,209,299.043062,7545158f165814bb,7545158f165814bb,4,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,3,65536,65536,1.000000,209,299.043062,7545158f165814bb,7545158f165814bb,4,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,4,65536,65536,1.000000,209,299.043062,7545158f165814bb,7545158f165814bb,4,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,0,262144,262144,1.000000,905,276.243094,5c1552df8030fce4,5c1552df8030fce4,24,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,1,262144,262144,1.000000,754,331.564987,5c1552df8030fce4,5c1552df8030fce4,21,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,2,262144,262144,1.000000,755,331.125828,5c1552df8030fce4,5c1552df8030fce4,24,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,3,262144,262144,1.000000,751,332.889481,5c1552df8030fce4,5c1552df8030fce4,20,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,4,262144,262144,1.000000,753,332.005312,5c1552df8030fce4,5c1552df8030fce4,21,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,0,1048576,1048576,1.000000,3581,279.251606,5236623b1e38a3a3,5236623b1e38a3a3,525,5236623b1e38a3a3,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,1,1048576,1048576,1.000000,3494,286.204923,5236623b1e38a3a3,5236623b1e38a3a3,530,5236623b1e38a3a3,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,2,1048576,1048576,1.000000,3506,285.225328,5236623b1e38a3a3,5236623b1e38a3a3,608,5236623b1e38a3a3,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,3,1048576,1048576,1.000000,3509,284.981476,5236623b1e38a3a3,5236623b1e38a3a3,520,5236623b1e38a3a3,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,4,1048576,1048576,1.000000,3473,287.935502,5236623b1e38a3a3,5236623b1e38a3a3,521,5236623b1e38a3a3,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,0,65536,65536,1.000000,186,336.021505,2772eb7b5d580d96,2772eb7b5d580d96,3,2772eb7b5d580d96,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,1,65536,65536,1.000000,188,332.446809,2772eb7b5d580d96,2772eb7b5d580d96,4,2772eb7b5d580d96,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,2,65536,65536,1.000000,187,334.224599,2772eb7b5d580d96,2772eb7b5d580d96,4,2772eb7b5d580d96,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,3,65536,65536,1.000000,187,334.224599,2772eb7b5d580d96,2772eb7b5d580d96,3,2772eb7b5d580d96,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,4,65536,65536,1.000000,186,336.021505,2772eb7b5d580d96,2772eb7b5d580d96,3,2772eb7b5d580d96,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,0,262144,262144,1.000000,880,284.090909,dcf9578e5a22ffc3,dcf9578e5a22ffc3,20,dcf9578e5a22ffc3,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,1,262144,262144,1.000000,754,331.564987,dcf9578e5a22ffc3,dcf9578e5a22ffc3,20,dcf9578e5a22ffc3,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,2,262144,262144,1.000000,754,331.564987,dcf9578e5a22ffc3,dcf9578e5a22ffc3,23,dcf9578e5a22ffc3,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,3,262144,262144,1.000000,755,331.125828,dcf9578e5a22ffc3,dcf9578e5a22ffc3,20,dcf9578e5a22ffc3,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,4,262144,262144,1.000000,810,308.641975,dcf9578e5a22ffc3,dcf9578e5a22ffc3,20,dcf9578e5a22ffc3,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,0,1048576,1048576,1.000000,3518,284.252416,c8116c5bb5e46840,c8116c5bb5e46840,533,c8116c5bb5e46840,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,1,1048576,1048576,1.000000,3587,278.784500,c8116c5bb5e46840,c8116c5bb5e46840,550,c8116c5bb5e46840,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,2,1048576,1048576,1.000000,3526,283.607487,c8116c5bb5e46840,c8116c5bb5e46840,541,c8116c5bb5e46840,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,3,1048576,1048576,1.000000,3509,284.981476,c8116c5bb5e46840,c8116c5bb5e46840,545,c8116c5bb5e46840,true,true,passed
Android,noop,compression-bench-noop-0-high_compressibility-1048576-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,high_compressibility,4,1048576,1048576,1.000000,3541,282.406100,c8116c5bb5e46840,c8116c5bb5e46840,544,c8116c5bb5e46840,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,0,65536,65536,1.000000,187,334.224599,3d44fc31249b7fea,3d44fc31249b7fea,4,3d44fc31249b7fea,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,1,65536,65536,1.000000,187,334.224599,3d44fc31249b7fea,3d44fc31249b7fea,4,3d44fc31249b7fea,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,2,65536,65536,1.000000,187,334.224599,3d44fc31249b7fea,3d44fc31249b7fea,4,3d44fc31249b7fea,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,3,65536,65536,1.000000,188,332.446809,3d44fc31249b7fea,3d44fc31249b7fea,5,3d44fc31249b7fea,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,4,65536,65536,1.000000,187,334.224599,3d44fc31249b7fea,3d44fc31249b7fea,4,3d44fc31249b7fea,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,0,262144,262144,1.000000,753,332.005312,847d87b26df4af9b,847d87b26df4af9b,21,847d87b26df4af9b,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,1,262144,262144,1.000000,758,329.815303,847d87b26df4af9b,847d87b26df4af9b,24,847d87b26df4af9b,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,2,262144,262144,1.000000,754,331.564987,847d87b26df4af9b,847d87b26df4af9b,23,847d87b26df4af9b,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,3,262144,262144,1.000000,756,330.687831,847d87b26df4af9b,847d87b26df4af9b,20,847d87b26df4af9b,true,true,passed
Android,noop,compression-bench-noop-0-low_compressibility-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,low_compressibility,4,262144,262144,1.000000,944,264.830508,847d87b26df4af9b,847d87b26df4af9b,22,847d87b26df4af9b,true,true,passed
