platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,compressed_output_hash,decompress_us,decompressed_output_hash,status
macOS,noop,pso-cache-noop-v1,Mac,Apple Silicon,macOS,1.0.0,0,262144,262144,1.000000,2280,109.649123,5c1552df8030fce4,970,5c1552df8030fce4,passed
macOS,noop,pso-cache-noop-v1,Mac,Apple Silicon,macOS,1.0.0,0,262144,262144,1.000000,3289,76.010946,5c1552df8030fce4,985,5c1552df8030fce4,passed
macOS,noop,pso-cache-noop-v1,Mac,Apple Silicon,macOS,1.0.0,0,262144,262144,1.000000,3515,71.123755,5c1552df8030fce4,953,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,1,262144,10879,24.096332,5929,42.165627,aa93b299a8716384,2186,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,1,262144,10879,24.096332,5709,43.790506,aa93b299a8716384,1837,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,1,262144,10879,24.096332,5249,47.628120,aa93b299a8716384,2218,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,3,262144,12177,21.527798,5300,47.169811,21337a3f26e89da0,1937,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,3,262144,12177,21.527798,8236,30.354541,21337a3f26e89da0,2281,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,3,262144,12177,21.527798,5758,43.417853,21337a3f26e89da0,1888,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,9,262144,10339,25.354870,14904,16.774020,4e6fff794a085ec2,1817,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,9,262144,10339,25.354870,14014,17.839304,4e6fff794a085ec2,1816,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,9,262144,10339,25.354870,14433,17.321416,4e6fff794a085ec2,1794,5c1552df8030fce4,passed
macOS,zstd,pso-cache-zstd-v1,Mac,Apple Silicon,macOS,1.5.6,19,262144,8510,30.804230,690564,0.362023,6d7d10e1bf9e1d45,1754,5c1552df8030fce4,passed
