platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,65536,65536,1.000000,91,686.813187,7545158f165814bb,7545158f165814bb,1,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,65536,65536,1.000000,91,686.813187,7545158f165814bb,7545158f165814bb,1,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,65536,65536,1.000000,91,686.813187,7545158f165814bb,7545158f165814bb,0,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,65536,65536,1.000000,91,686.813187,7545158f165814bb,7545158f165814bb,1,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,65536,65536,1.000000,100,625.000000,7545158f165814bb,7545158f165814bb,0,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,262144,262144,1.000000,428,584.112150,5c1552df8030fce4,5c1552df8030fce4,36,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,262144,262144,1.000000,397,629.722922,5c1552df8030fce4,5c1552df8030fce4,6,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,262144,262144,1.000000,607,411.861614,5c1552df8030fce4,5c1552df8030fce4,9,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,262144,262144,1.000000,591,423.011844,5c1552df8030fce4,5c1552df8030fce4,9,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,262144,262144,1.000000,539,463.821892,5c1552df8030fce4,5c1552df8030fce4,38,5c1552df8030fce4,true,true,passed
