platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,65536,65536,1.000000,100,625.000000,7545158f165814bb,7545158f165814bb,5,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,65536,65536,1.000000,87,718.390805,7545158f165814bb,7545158f165814bb,0,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,65536,65536,1.000000,88,710.227273,7545158f165814bb,7545158f165814bb,1,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,65536,65536,1.000000,87,718.390805,7545158f165814bb,7545158f165814bb,0,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,65536,65536,1.000000,87,718.390805,7545158f165814bb,7545158f165814bb,2,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,262144,262144,1.000000,350,714.285714,5c1552df8030fce4,5c1552df8030fce4,6,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,262144,262144,1.000000,350,714.285714,5c1552df8030fce4,5c1552df8030fce4,6,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,262144,262144,1.000000,350,714.285714,5c1552df8030fce4,5c1552df8030fce4,6,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,262144,262144,1.000000,350,714.285714,5c1552df8030fce4,5c1552df8030fce4,6,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,262144,262144,1.000000,379,659.630607,5c1552df8030fce4,5c1552df8030fce4,26,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,1048576,1048576,1.000000,1534,651.890482,5236623b1e38a3a3,5236623b1e38a3a3,111,5236623b1e38a3a3,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,1048576,1048576,1.000000,1414,707.213579,5236623b1e38a3a3,5236623b1e38a3a3,106,5236623b1e38a3a3,true,true,passed
