platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,0,65536,4674,14.021395,215,290.697674,7545158f165814bb,b5c71ec9c4519df5,45,7545158f165814bb,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,1,65536,4674,14.021395,188,332.446809,7545158f165814bb,b5c71ec9c4519df5,36,7545158f165814bb,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,2,65536,4674,14.021395,234,267.094017,7545158f165814bb,b5c71ec9c4519df5,62,7545158f165814bb,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,3,65536,4674,14.021395,172,363.372093,7545158f165814bb,b5c71ec9c4519df5,40,7545158f165814bb,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,4,65536,4674,14.021395,166,376.506024,7545158f165814bb,b5c71ec9c4519df5,37,7545158f165814bb,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,0,262144,18592,14.099828,601,415.973378,5c1552df8030fce4,410417323c4256f8,80,5c1552df8030fce4,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,1,262144,18592,14.099828,565,442.477876,5c1552df8030fce4,410417323c4256f8,78,5c1552df8030fce4,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,2,262144,18592,14.099828,623,401.284109,5c1552df8030fce4,410417323c4256f8,116,5c1552df8030fce4,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,3,262144,18592,14.099828,590,423.728814,5c1552df8030fce4,410417323c4256f8,80,5c1552df8030fce4,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,4,262144,18592,14.099828,684,365.497076,5c1552df8030fce4,410417323c4256f8,130,5c1552df8030fce4,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,0,1048576,75843,13.825613,2502,399.680256,5236623b1e38a3a3,d06ad51a3a987203,506,5236623b1e38a3a3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,1,1048576,75843,13.825613,2504,399.361022,5236623b1e38a3a3,d06ad51a3a987203,503,5236623b1e38a3a3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,2,1048576,75843,13.825613,2332,428.816467,5236623b1e38a3a3,d06ad51a3a987203,461,5236623b1e38a3a3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,3,1048576,75843,13.825613,2498,400.320256,5236623b1e38a3a3,d06ad51a3a987203,523,5236623b1e38a3a3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-pso_like-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,pso_like,4,1048576,75843,13.825613,2302,434.404865,5236623b1e38a3a3,d06ad51a3a987203,474,5236623b1e38a3a3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,0,65536,6636,9.875829,176,355.113636,2772eb7b5d580d96,5ac20bfda226d803,26,2772eb7b5d580d96,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,1,65536,6636,9.875829,171,365.497076,2772eb7b5d580d96,5ac20bfda226d803,28,2772eb7b5d580d96,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,2,65536,6636,9.875829,172,363.372093,2772eb7b5d580d96,5ac20bfda226d803,23,2772eb7b5d580d96,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,3,65536,6636,9.875829,163,383.435583,2772eb7b5d580d96,5ac20bfda226d803,26,2772eb7b5d580d96,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-65536-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,4,65536,6636,9.875829,171,365.497076,2772eb7b5d580d96,5ac20bfda226d803,33,2772eb7b5d580d96,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,0,262144,26289,9.971623,441,566.893424,dcf9578e5a22ffc3,b14eb0bda7788b7a,21,dcf9578e5a22ffc3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,1,262144,26289,9.971623,429,582.750583,dcf9578e5a22ffc3,b14eb0bda7788b7a,23,dcf9578e5a22ffc3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,2,262144,26289,9.971623,487,513.347023,dcf9578e5a22ffc3,b14eb0bda7788b7a,25,dcf9578e5a22ffc3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,3,262144,26289,9.971623,488,512.295082,dcf9578e5a22ffc3,b14eb0bda7788b7a,22,dcf9578e5a22ffc3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-262144-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,4,262144,26289,9.971623,490,510.204082,dcf9578e5a22ffc3,b14eb0bda7788b7a,26,dcf9578e5a22ffc3,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,0,1048576,105630,9.926877,2018,495.540139,c8116c5bb5e46840,7075b72c8c3b88d6,305,c8116c5bb5e46840,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,1,1048576,105630,9.926877,1830,546.448087,c8116c5bb5e46840,7075b72c8c3b88d6,233,c8116c5bb5e46840,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,2,1048576,105630,9.926877,1836,544.662309,c8116c5bb5e46840,7075b72c8c3b88d6,225,c8116c5bb5e46840,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,3,1048576,105630,9.926877,2300,434.782609,c8116c5bb5e46840,7075b72c8c3b88d6,258,c8116c5bb5e46840,true,true,passed
Windows,oodle_kraken,compression-bench-oodle_kraken-1-high_compressibility-1048576-v1,MRKILL,13th Gen Intel(R) Core(TM) i7-13700F,Windows 11,2.9.12,1,high_compressibility,4,1048576,105630,9.926877,1986,503.524673,c8116c5bb5e46840,7075b72c8c3b88d6,238,c8116c5bb5e46840,true,true,passed
